EAR,MAR,blink_rate,label
0.19548064306542054,1.309001738237154,0,drowsy
0.25351073185218437,1.256180484135794,0,alert
0.2904692472338849,1.2814584706704781,0,alert
0.24202667306169712,1.3009265025045422,0,drowsy
0.21340206729441621,1.3034591467350585,0,drowsy
0.2581860375472833,1.2701258258595165,0,alert
0.18909615020593248,1.30826027600289,0,drowsy
0.23575788406527626,1.419693000958742,0,alert
0.21467487155991474,1.3027426174452832,0,alert
0.18826113275006123,1.4132635434308034,0,drowsy
0.16975579963005882,1.2942993746547287,0,drowsy
0.17979987322181967,1.261083197530673,0,drowsy
0.20231437957617665,1.2784348973334112,0,drowsy
0.29630210402558965,1.2864429699043518,0,alert
0.25220920566426286,1.2965319054424398,0,alert
0.25171598384149435,1.275223177671462,0,alert
0.2573228272911559,1.2953060811789046,0,alert
0.24302107250537713,1.3554570739981207,0,alert
0.15227008601701636,1.4232678370540714,0,alert
0.19543679451347076,1.330289676943746,0,drowsy
0.20764808750306027,1.3286137545780838,0,drowsy
0.1989559202704704,1.3296728477170194,0,drowsy
0.1525285000993617,1.324877305543101,0,drowsy
0.16684219071141687,1.3329780063553378,0,drowsy
0.20423196488247503,1.3273949631493898,0,drowsy
0.29512788100950754,1.280938664693491,0,alert
0.31516949793352567,1.258710655557054,0,alert
0.3080213819953651,1.2684288499286889,0,alert
0.28117004284386743,1.2423993335707315,0,alert
0.22021408046245583,1.2986202193118959,0,alert
0.23120682916707821,1.2913946508174072,0,alert
0.28278715663196774,1.2939258633294337,0,alert
0.22738722858313398,1.2649702884777103,0,alert
0.3096301802318716,1.3010664994550245,0,alert